,index,x,y,cbga
516,2082,332201.0,4260323.0,-214.433
517,2083,332812.0,4260310.0,-213.25099999999998
518,2084,333103.0,4260304.0,-212.623
519,2085,333408.0,4260298.0,-211.889
520,2086,333728.0,4260291.0,-211.079
521,2087,334019.0,4260285.0,-210.24099999999999
522,2088,334324.0,4260279.0,-209.403
523,2089,334630.0,4260273.0,-208.34599999999998
524,2090,334920.0,4260267.0,-207.051
525,2091,335225.0,4260261.0,-206.09099999999998
526,2092,335517.0,4260255.0,-204.96900000000002
527,2093,335837.0,4260248.0,-203.80700000000002
528,2094,336141.0,4260242.0,-202.558
529,2095,336345.0,4260238.0,-202.17700000000002
530,2096,336519.0,4260234.0,-201.407
531,2097,336738.0,4260230.0,-200.636
532,2098,336927.0,4260226.0,-200.03900000000002
533,2099,337029.0,4260224.0,-200.065
534,2100,337131.0,4260222.0,-199.49400000000003
535,2101,337319.0,4260218.0,-199.91400000000002
536,2102,337523.0,4260214.0,-199.89
537,2103,337639.0,4260211.0,-199.68
538,2104,337829.0,4260208.0,-200.041
539,2105,338047.0,4260203.0,-200.705
540,2106,338235.0,4260199.0,-200.58700000000002
541,2107,338832.0,4260187.0,-200.325
542,2108,339137.0,4260181.0,-200.822
543,2109,339442.0,4260175.0,-201.489
544,2110,339646.0,4260171.0,-203.225
545,2112,336041.0,4260281.0,-202.398
546,2119,337643.0,4260378.0,-199.005
547,2123,337558.0,4260509.0,-198.78
548,2127,337646.0,4260545.0,-199.028
549,2130,330609.0,4260709.0,-216.43599999999998
550,2134,342386.0,4260487.0,-205.49599999999998
551,2136,337778.0,4260597.0,-201.84
552,2137,337808.0,4260652.0,-198.174
553,2139,339132.0,4260681.0,-203.916
554,2142,337651.0,4260804.0,-199.012
555,2144,336824.0,4260894.0,-200.42
556,2147,331127.0,4261105.0,-215.09400000000002
557,2149,337655.0,4261007.0,-199.03599999999997
558,2150,338266.0,4260995.0,-198.585
559,2157,338573.0,4261062.0,-198.68200000000002
560,2158,338588.0,4261062.0,-198.62099999999998
561,2163,337659.0,4261192.0,-198.83
562,2164,338517.0,4261175.0,-198.48
563,2166,336061.0,4261243.0,-203.843
564,2167,342471.0,4261115.0,-206.24400000000003
565,2178,337489.0,4261399.0,-197.817
566,2179,337663.0,4261395.0,-198.66400000000002
567,2184,340325.0,4261398.0,-203.551
568,2185,338930.0,4261481.0,-199.419
569,2186,332810.0,4261643.0,-211.168
570,2187,337667.0,4261599.0,-198.398
571,2188,339180.0,4261642.0,-200.42700000000002
572,2189,339180.0,4261642.0,-200.39700000000002
573,2190,343847.0,4261550.0,-206.234
574,2192,339168.0,4261698.0,-200.581
575,2194,337642.0,4261766.0,-201.69799999999998
576,2195,337671.0,4261784.0,-198.63099999999997
577,2197,334837.0,4261860.0,-205.81799999999998
578,2199,339433.0,4261878.0,-202.267
579,2203,334478.0,4262053.0,-206.891
580,2204,334666.0,4262049.0,-206.234
581,2205,334869.0,4262045.0,-205.757
582,2206,335073.0,4262040.0,-205.145
583,2207,335277.0,4262036.0,-204.794
584,2208,335466.0,4262032.0,-204.06599999999997
585,2209,335669.0,4262028.0,-203.546
586,2210,335887.0,4262024.0,-202.674
587,2211,336076.0,4262020.0,-202.253
588,2212,336280.0,4262016.0,-201.428
589,2213,336468.0,4262012.0,-200.84799999999998
590,2214,336672.0,4262008.0,-200.19
591,2215,336978.0,4262001.0,-198.68099999999998
592,2216,337181.0,4261997.0,-198.079
593,2217,337385.0,4261993.0,-197.606
594,2218,337776.0,4261985.0,-198.25799999999998
595,2219,337966.0,4261981.0,-198.793
596,2220,339943.0,4261942.0,-202.37099999999998
597,2221,332820.0,4262105.0,-209.824
598,2222,337662.0,4262024.0,-204.079
599,2225,338607.0,4262043.0,-203.391
600,2226,340265.0,4262009.0,-202.17700000000002
601,2229,341704.0,4261999.0,-204.59900000000002
602,2231,341328.0,4262081.0,-203.972
603,2233,336081.0,4262223.0,-201.805
604,2234,337679.0,4262190.0,-198.16099999999997
605,2235,340688.0,4262130.0,-202.332
606,2237,342114.0,4262195.0,-207.59
607,2239,343801.0,4262180.0,-208.463
608,2240,343395.0,4262225.0,-208.243
609,2243,336085.0,4262427.0,-201.9
610,2244,337683.0,4262394.0,-197.465
611,2245,342568.0,4262334.0,-206.456
612,2246,338586.0,4262450.0,-201.27599999999998
613,2247,338601.0,4262450.0,-198.239
614,2248,343165.0,4262359.0,-207.226
615,2249,344126.0,4262433.0,-209.831
616,2250,344126.0,4262433.0,-209.87099999999998
617,2251,336089.0,4262630.0,-201.875
618,2255,337689.0,4262653.0,-197.345
619,2256,334797.0,4262768.0,-205.674
620,2259,336093.0,4262833.0,-201.709
621,2260,337692.0,4262801.0,-196.987
622,2270,331225.0,4263045.0,-212.976
623,2274,331197.0,4263064.0,-212.41
624,2276,337695.0,4262986.0,-194.5
625,2277,338714.0,4262984.0,-195.43
626,2278,336099.0,4263111.0,-201.46099999999998
627,2281,343673.0,4263053.0,-204.127
628,2282,337700.0,4263190.0,-193.676
629,2284,336103.0,4263315.0,-200.985
630,2289,334809.0,4263360.0,-205.597
631,2291,344083.0,4263193.0,-205.952
632,2300,337704.0,4263393.0,-194.74599999999998
633,2301,336107.0,4263518.0,-199.695
634,2302,336123.0,4263629.0,-200.083
635,2303,337708.0,4263597.0,-194.56099999999998
636,2306,336111.0,4263721.0,-200.583
637,2307,331621.0,4263870.0,-211.732
638,2316,333833.0,4263953.0,-207.733
639,2320,335476.0,4263993.0,-202.391
640,2321,337614.0,4263950.0,-194.238
641,2323,332876.0,4264066.0,-209.81799999999998
642,2324,333181.0,4264060.0,-209.201
643,2325,333486.0,4264053.0,-208.732
644,2326,333776.0,4264047.0,-208.06400000000002
